"","ID","Age","Gender","Latinx","Race","White_Nss","White_SS","Hardwork_Nss","Hardwork_SS","Unskilled_Nss","Unskilled_SS","Man_Nss","Man_SS","Unemployed_Nss","Unemployed_SS","ErraticHistory_Nss","ErraticHistory_SS"
"1",62,31,1,1,2,5.4,5.5,5.4,5.6,5.3,5.3,5.4,5.3,5.6,5.7,5.8,5.5
"2",207,26,1,2,1,2,3.8,3.4,3.9,3.5,2.7,3.8,4.7,3.4,2.8,3.8,2.7
"3",131,56,2,2,1,2.3,4.3,4,4.4,4.4,4,4.4,5.6,2.9,2.4,2.9,2.4
"4",119,32,1,2,1,2.3,3.5,5,5,3,3,4.8,5,1,1,1,1
"5",28,44,1,2,5,3.2,4,3.9,3.7,3.1,3.7,3.8,3.8,2.9,3.6,2.9,3.7
"6",50,32,1,2,1,4.4,4,4.3,4.1,4.2,4,4,4.2,3.4,3.9,4,4.2
"7",140,30,1,2,2,2.7,4.3,4.5,4.1,3.8,3.4,4.6,4.3,2.5,2.8,2.7,3.1
"8",220,49,1,2,1,4.6,5.8,5.2,4.5,4.4,4.7,4.3,5.1,5,5.3,4.7,5.7
"9",42,26,2,2,1,2.8,4.5,4.9,5.1,4.7,4.3,4.9,5.2,2.5,2.3,2.3,2.3
"10",245,60,2,2,1,3.8,5.2,3.5,4.6,4,2.6,4.7,5.3,3.9,2.6,3.9,2.6
"11",22,46,2,2,1,2.6,4,4.8,4.8,4.2,4.2,3.4,4.2,2.2,2.5,2.3,2.3
"12",230,59,1,2,1,2.6,3.8,4.1,4,3.8,4,4,5.3,2.9,3,2.9,3
"13",31,28,2,2,1,2.5,3.9,4,4.5,3.4,2.6,4.2,4.7,3.4,2.8,3.4,2.5
"14",203,37,1,2,1,3.3,5.4,3.8,4.8,4.2,3.4,4.9,5.5,3.3,2.6,3.3,2.6
"15",21,41,1,2,1,2.2,4.5,4.8,4.8,3.4,3.5,4.2,4.2,2.8,2.6,2.7,2.5
"16",149,24,1,2,1,2.7,4.7,4.2,4.6,2.8,3,4.5,5,2.8,2.9,2.8,3.1
"17",151,55,1,2,1,3,4.5,4.4,4.2,3.2,3.3,3.8,4.8,2.8,2.9,3.2,3.2
"18",225,51,1,2,1,2.8,5.1,4.5,4.8,4.2,3.3,3.6,4.7,3.3,2.9,3.1,2.9
"19",205,70,1,2,1,3.4,5.2,4.9,5,3.6,2.7,6,6,3.7,2.6,3.7,2.6
"20",197,25,1,2,1,2.9,4.6,3.9,4.1,4,3.7,4.3,4.9,3.9,3.4,3.9,3.4
"21",235,33,2,2,1,2.3,4.7,4.1,4.7,5.2,4.6,5.2,5.9,3.6,3.2,3.4,3.2
"22",192,37,2,2,1,3.4,4.3,4.5,4.2,3.6,3.8,4.5,4.2,3.7,4.2,3.8,4.2
"23",90,65,1,2,1,2.4,4.8,3.8,5,4.2,3.4,3.5,4.8,3.7,2.2,3.7,2.2
"24",46,36,1,2,1,2.5,4.6,3.8,3.9,2.9,3,4,4.5,2.6,2.6,2.6,2.7
"25",82,42,1,2,1,3.5,4.1,4,4,4,4,4,4,4,4,4,4
"26",170,30,1,2,1,1.9,3.2,3.3,3.8,4.3,4.1,4.8,5.1,3.3,3,3.3,3
"27",63,56,1,2,1,4.7,5.7,4,4.7,3.9,2.8,5.2,5.7,3.9,2.8,3.8,2.8
"28",240,37,2,2,1,2.8,5.3,3.8,4.7,3.9,3,3.6,4.2,3.2,2.5,3,2.5
"29",87,20,1,2,4,1.7,2,5.2,5.2,3.2,3.4,5,5.9,3.5,3.5,3.4,3.3
"30",148,40,1,2,1,3.4,3.8,3.8,3.5,3.8,3.8,3,4.3,4.2,4.2,3.6,3.9
"31",180,24,2,2,2,3.2,4.2,3.5,4.5,3.2,3.3,4.6,4.3,3,3.9,3.7,3.5
"32",129,30,1,1,1,3,3.4,4.8,5,2,1.6,4.5,3.6,2.2,1.2,2.3,1.4
"33",158,33,2,2,1,2,3.1,4.2,4.5,3.8,3.6,4.3,4.8,2.5,2.2,2.4,2.2
"34",94,41,1,1,2,3.8,4.3,4.6,4.8,4.5,4.4,4.1,4.9,4.5,4.8,4.7,4.9
"35",227,41,1,2,1,3.6,4.5,3.7,3.6,3.8,3.1,4,4.9,3.5,3.5,3.8,3.5
"36",161,41,1,2,1,3.6,4.6,4.2,4.4,3.2,3.6,4.8,4.9,3.8,3.7,4,4
"37",55,34,1,2,1,2.9,4.2,3.6,4,3.8,3.8,5.1,5.1,3.5,3.3,3.7,3.6
"38",1,46,2,2,1,3.7,5.5,4.9,5,3.6,3.3,4.7,5.7,2.1,2.1,2.1,2.1
"39",175,43,2,2,1,3.4,4.6,4.3,4.6,3.1,3.4,5,5.9,3.3,2.6,3.2,3
"40",243,44,1,2,2,2.5,4.6,5.4,5.2,4.1,4.4,4.3,5.5,2.6,2.6,2.6,2.7
"41",211,54,1,1,1,3.4,4.8,4.6,4.9,4,4,4.7,5.4,4,4,4.1,4
"42",83,31,2,2,1,2.4,4.2,5,5,2.1,2,5.3,5.9,2,2,2,2
"43",81,35,2,2,1,2.7,4.5,5.3,4.7,3.5,3.1,2.4,5.5,3.4,3,3.3,2.9
"44",239,23,1,1,1,2.2,3.9,4.7,4.5,4.3,4.7,4.5,4.2,2.4,2.1,2.5,2.3
"45",123,59,2,2,1,2.1,5.1,5.2,5.9,3.8,2.8,6,6,2.1,1.3,2.1,1.3
"46",208,60,1,2,1,3.3,6,6,6,2,2.1,5.9,6,2,2,2,2
"47",156,26,2,2,1,2.9,4.2,3.5,4.4,4.4,2.7,5.2,5.4,4,2.6,3.9,2.6
"48",36,54,2,2,1,2.8,4.4,4.4,5,4.2,3.7,4,4.9,3.8,3.2,3.9,3.2
"49",6,36,2,2,2,2.3,4.9,4.4,5.3,5.3,4.3,5.4,5.5,4.3,3,3.3,2
"50",210,33,1,2,1,2.9,5.3,3.9,3.8,3.7,3.4,4.7,4.7,3.8,3.4,3.6,3.8
"51",221,32,1,2,1,4.8,4.7,4.9,4.9,4,4.2,4.7,4.7,4.9,5,4.6,4.5
"52",135,39,1,2,1,3.1,4.6,4.6,3.7,3.1,2.6,3.8,4.4,2.4,3.3,2.4,3.3
"53",8,40,1,1,5,4.1,4.5,4,4.4,3.6,3.9,3.5,4.3,3,2.3,3.3,2.9
"54",10,36,1,2,2,2.6,4.8,4.3,3.5,3.9,3.6,4.5,5.5,2.9,3.2,2.8,3.1
"55",199,41,2,2,1,3,3.9,4.2,4.2,3.5,3.6,4.5,4.7,3.6,3.6,3.5,3.6
"56",185,43,1,2,1,2.7,3.7,5.1,4.8,3.8,3.7,4.5,4.3,3.4,3.4,3.1,3.4
"57",130,31,2,2,1,2.8,4.5,4.3,4.9,3.8,3.7,2.4,4.4,3.1,4,3.3,3.7
"58",23,24,2,2,1,3.7,4.3,3.6,4.3,3.4,2.8,4.1,4.5,3.4,2.8,3.4,2.8
"59",223,30,2,2,6,3,5.4,4,4,1.1,1,5,5,1.1,1,1.1,1
"60",198,55,2,2,1,3.1,4.8,5,5,3.7,3.5,4.6,5.6,3.7,3.5,3.7,3.5
"61",218,29,2,2,1,2.3,4.7,3.3,3.5,3.9,4.1,4.9,5.5,3.8,3.7,3.7,3.5
"62",2,58,1,2,1,3.1,4.6,4.8,4.9,3.2,3.1,4.6,5.3,2.5,2.3,2.6,2.2
"63",30,44,2,2,1,2.4,5,6,6,1,1,4.8,5.8,1,1,1,1
"64",189,27,2,2,1,1.7,2.5,4.5,4.3,2.6,2.7,5.1,5.2,2.7,2.6,2.6,2.8
"65",247,66,1,2,4,3.4,4.7,4.3,4.3,3,2.5,4.3,4.4,3.2,2.5,3.2,2.5
"66",112,28,1,2,4,3.3,4.7,4,4.8,3.2,2.5,5.3,6,3.9,2.8,3.9,2.8
"67",66,34,1,2,1,2.3,3.7,3,3.8,4,4.3,2.6,4.1,2.9,2.8,2.2,2.1
"68",150,32,1,2,4,2.9,5,4.1,4.2,3.4,3.4,4.9,5.2,3.4,3.4,3.4,3.4
"69",49,30,2,2,1,2.4,4.4,4.6,4.8,3.7,3.2,4.1,4.9,3.1,2.3,3.3,2.2
"70",244,35,1,2,1,3.1,5.2,4,4.5,4.7,4.8,5.5,5.4,2.3,2.1,2.3,2.1
"71",206,44,2,2,1,3.4,5.4,5,5,3.9,3,5,5.9,3.2,2.3,3.2,2.2
"72",134,29,2,2,1,3.7,4.5,5,4.9,4.1,4.4,5,5.1,5,5.2,5.5,5.2
"73",99,42,1,2,1,2.2,3.6,3.4,3.9,4,3.3,3.5,3.8,3.8,3.1,3.9,3.2
"74",178,23,1,1,1,3.1,4.5,4.3,4.1,3.6,3.3,3.6,4.8,2.9,2.7,3.1,2.7
"75",65,29,2,2,1,4,5.7,4.6,5.1,2.8,2.1,5.9,5.8,2.8,2,2.8,2
"76",19,26,2,2,1,3.6,5.1,3.9,5,3.7,3.9,5,5.7,3.4,3,3.6,3.1
"77",44,31,2,2,1,2.7,4.8,5,5,2.7,3.1,4.2,4.7,2.6,3,2.6,3.1
"78",33,36,2,2,1,3,4.1,3.9,4,3.3,3.7,3.7,4.6,3.5,3.3,3.6,3.6
"79",14,29,1,2,1,3.4,4.4,4.5,4.3,3.3,3.3,4.5,4.4,3,2.6,3,2.6
"80",202,23,1,2,1,2.7,4.6,3.8,4.9,4.1,4.1,3.9,4.5,2.6,2.4,2.5,2.4
"81",172,29,2,2,1,3.7,4.5,4,4.8,3.4,3.5,3.4,4.9,3.3,3.2,3.3,3.2
"82",29,50,1,2,1,3.1,4.2,4.6,4.5,2.8,2.5,4.5,4.6,2.7,2.5,2.7,2.7
"83",107,52,1,2,1,2,5,5,5,2.5,2.1,3.5,5.4,2.4,2.1,2.4,2.1
"84",144,34,1,2,1,2.6,3.3,4.8,4.8,2.7,2.4,4.7,4.7,3,2.2,2.8,2.3
"85",117,30,1,2,2,2.5,4.4,5.6,5.1,4.5,4.3,5.9,6,4.5,4.2,4.5,4.1
"86",184,32,1,2,2,2.5,3.8,4.3,4.4,3.3,2.8,4.2,5.2,3.3,3.2,3.5,3.4
"87",37,41,1,2,1,2,4.5,4.6,3.6,2.4,3,4,5.5,2,3.1,2.3,3.2
"88",47,37,2,2,1,3.6,3.7,4,4.2,4.6,4.4,3.5,3.7,3.2,3.8,5.1,5.3
"89",101,44,1,2,1,2.8,4.4,4.7,4.7,3.2,2.9,4.9,5.3,2.5,2.3,3.1,3
"90",138,57,2,2,1,3.5,5.6,4,3.6,3.9,3.3,4.3,6,3.8,3.2,3.8,3.2
"91",11,49,2,2,1,3.2,4.7,5.5,5,3,3,4.7,5.5,3,3,3,3
"92",124,55,2,2,1,4.1,5.7,4.6,5.6,3,1.1,5.8,6,2.6,1.1,2.5,1.2
"93",214,32,2,2,1,2.5,4.6,4.4,5,3.9,3.3,5.5,5.8,3.3,2.5,3.3,2.6
"94",59,30,2,2,1,3.6,4.3,5,5,2.7,2.5,5.7,5.8,2.4,2.5,2.4,2.3
"95",60,31,2,2,1,2.8,4.6,4.2,4.4,3,2.4,3.9,4.2,2.6,2,2.7,2.1
"96",237,50,2,2,1,2.5,4.4,5.3,5.3,4.9,3.9,4.5,5.2,3.8,3.4,3.8,3.4
"97",89,32,2,2,1,2.7,3.7,4.3,4.3,2.5,2.8,4.6,5,2.5,2.7,2.5,2.6
"98",75,26,1,2,1,2.7,3.7,4,4,4,4,3.2,4,4,4,4,4
"99",196,24,2,2,3,3.4,4.8,4.5,4.7,4.3,4.1,5.5,5.5,2.5,2.3,2.6,2.2
"100",139,46,1,2,1,2.8,4.7,4,5.3,4.6,4.1,2.5,3.9,3.1,1.9,3.2,1.5
"101",4,28,2,2,1,5.5,5.6,5,5,2,2,6,6,2,2,2,2
"102",32,31,1,2,1,3.2,4.6,4.7,4.8,3,2.3,4.1,5.6,2.2,2,2.1,2.1
"103",61,41,1,2,1,3,4.6,3.9,4.1,4.4,4.4,2.4,3.5,3.3,3.3,3.3,3.3
"104",241,35,1,2,1,3,5.2,6,6,2.4,2.8,6,6,2.4,2.8,2.4,2.8
"105",159,49,2,2,1,3.3,5.5,4.2,4.6,4.3,3.4,5.8,6,3.6,3.1,3.3,2.7
"106",177,47,1,2,1,3.6,5.3,3.6,5,4.6,3.8,4.9,5.9,3.3,2,3.3,2
"107",13,38,1,2,1,3.5,4.7,4.3,4.4,3.6,3.7,4,4.8,4,3.7,4.3,4.1
"108",168,47,1,2,1,2.2,4.6,4,4.4,4.8,4.5,3.9,4.4,3.8,3.1,3.7,3
"109",27,33,2,2,4,4.2,4.5,4.4,4.4,4.3,4.2,4.3,4.9,4.7,4.1,4.1,3.8
"110",106,49,1,2,1,2,5,6,6,6,6,6,6,1,1,1,1
"111",48,46,2,2,1,3,4.9,4.4,4.7,4.4,4.1,4.3,4.7,4.4,4.1,4.5,4
"112",115,39,2,2,1,2.9,4.8,4.6,4.1,3.6,2.4,4.8,5.1,3.4,2.6,3.3,2.6
"113",222,28,1,2,1,3.2,4.5,4.2,4,2.3,3.1,4.1,4.6,1.4,2.1,1.5,1.9
"114",213,36,1,2,2,4.3,4.7,4.4,4.5,4.2,3.9,4.4,4.6,2.5,2.3,2.5,2.3
"115",181,63,2,2,2,3.7,3.1,3.4,4.2,3.9,4,3.6,3.6,5.7,4.7,4.7,5.5
"116",190,31,1,2,2,2.4,4.4,4.6,5.1,2.1,2,3.3,4.7,1.7,2.2,1.9,1.9
"117",224,34,2,2,1,3.1,4,4,4,3.1,3.4,6,6,3.1,3.2,3.1,3.1
"118",100,45,2,2,1,2.6,4.7,5,5,1.8,1.8,6,6,1.5,1.3,1.5,1.3
"119",187,35,1,2,4,5,6,4,4,4,4,4.6,5.2,4,4,4,4
"120",212,26,1,2,1,2.4,5,3.8,4,4.1,3,4.7,5.3,2.7,1.9,2.7,1.8
"121",125,39,1,2,1,3.3,4.1,3.9,3.9,4.1,3.4,4,4.2,3.5,3.2,3.6,3.2
"122",174,29,1,2,1,3.5,4.1,4.2,4.7,2.9,2.5,4.5,5,2.7,2.2,2.8,2.3
"123",173,39,2,2,1,2.8,4.9,3.9,4.2,4.1,2.9,3.9,5.4,3.7,3,3.3,2.8
"124",157,35,1,1,2,6,6,5.9,6,1,1,6,6,1,1,1,1
"125",142,40,1,2,1,2,5,4.8,5.2,3.1,2.4,5.6,5.7,3.4,2.6,3.4,2.4
"126",118,47,1,2,1,2.6,4,3.5,4,3.5,2.9,3.7,4.6,3.9,3.1,3.6,2.8
"127",195,59,2,2,1,4.6,5.4,3.9,4.3,3.5,3.2,4.1,5,3.7,3,3.4,3
"128",64,38,1,2,2,2.6,4.5,4.9,4.6,4.7,3.1,5.8,5.7,3.8,2,3.9,2.1
"129",188,60,1,2,1,3.4,3.8,4,4,3,3,3.8,4,3,3,3,3
"130",231,35,1,2,1,2.4,4.9,3.6,4.4,3.5,2.5,4.7,5.2,3.7,2.4,3.2,2.3
"131",76,64,2,2,1,3.9,5.3,5.8,5.5,5.1,4.3,5.1,5.5,3.1,3.7,3.1,3.7
"132",79,48,2,2,3,1.5,4.7,4.9,5.2,2.8,2.7,4.1,5.2,2.8,2.5,2.8,2.5
"133",80,58,2,2,1,6,6,5.4,6,5.3,6,4.5,5,5,6,5.5,6
"134",182,33,2,1,2,4.8,5.1,5,4.7,4.8,4.9,5.2,4.9,5.7,5.6,5.1,5.3
"135",194,45,2,2,4,4.5,4.5,4.7,4.8,2.3,2,4.8,4.9,2.3,2,2.3,2
"136",154,28,1,2,1,2.1,3.4,4.9,4.5,4.4,4.1,4.6,4.4,2.5,3.3,2.5,3.3
"137",18,28,1,2,1,3.2,3.8,4,4,3,3,3.9,4,3,3,3,3
"138",54,29,2,2,1,3.5,5.7,5.4,4.6,4,3.1,5.3,5.9,3.6,3.4,3.6,3.4
"139",126,39,2,2,2,3.2,5,4.5,4.7,3.7,2.8,5.7,6,3.7,2.8,3.7,2.8
"140",95,28,1,2,1,2.6,4.1,3.9,4.2,5,3.5,4.7,4.4,4.9,3.5,4.9,3.6
"141",147,71,2,2,1,2.8,4.4,4.9,5.1,4.1,3.6,5.8,6,3.7,3,3.9,3
"142",7,38,2,2,1,2.6,4.7,2.3,4.3,5.5,4.8,4.9,5.4,4.3,2.6,4.3,2.7
"143",186,39,2,2,1,2.7,3.7,4.2,4.7,3.5,2.8,4.2,4.5,3.5,2.8,3.5,2.8
"144",136,72,1,2,1,3.1,4.7,5.2,5.1,3.4,2.5,4,4.7,3.3,2.8,3.2,2.8
"145",91,45,1,1,1,4.2,4.2,4.6,4,5,5.1,4.4,4.1,5,5.1,5.3,5
"146",132,60,2,2,1,4.2,4.8,4.8,5.1,3.6,2.4,4.8,5.3,2.8,2.1,2.8,2.1
"147",77,28,1,1,2,4,4,3.7,4.2,4.2,3.6,4.3,4,3.5,4.8,3.9,3.9
"148",228,45,1,1,2,3.4,4.6,4.3,4,5,4.8,3.4,3.9,3.4,3.3,4.5,4.8
"149",38,28,1,1,2,4.2,4.1,3.5,3.6,4.4,4.2,3.9,4.1,2.8,3.1,3.5,3.7
"150",84,42,1,2,1,4.5,4.4,4.1,4.1,4.6,4.4,4.8,4.3,5.5,5.2,5.9,5.8
"151",52,32,2,2,2,3.7,3.6,4.5,3.8,4.3,4.7,2.3,4.5,5.1,4.3,4.5,3.8
"152",40,42,2,2,1,2.3,4.1,4.9,5.4,2,1.3,5,6,2.1,1.3,2.2,1.3
"153",92,67,1,2,1,3.8,4.6,4.9,5,2.7,2,4,4.7,2.8,2,2.6,2.2
"154",165,31,1,1,1,3.5,5.1,4.5,4.9,3.5,1.9,4.8,4.9,2.7,1.7,2.5,1.4
"155",97,36,1,2,1,5.1,6,4.7,4.5,3.5,3.1,5.8,5.9,3,3,3,3
"156",110,45,1,2,1,3.1,5.3,4.9,4.3,3.8,3.3,3.3,3.8,3.9,3.3,4.1,3.3
"157",35,47,2,2,1,2.2,4.2,5.1,4.6,3.4,2.8,3.6,4.7,2.2,2.5,2.4,2.6
"158",242,40,2,2,1,3.1,4.1,4.7,4.7,3.2,3.7,3.6,4.5,3.3,3.5,3.2,3.5
"159",238,37,2,2,1,2.7,4.4,4.2,4.7,4.4,4.2,3.6,4.6,3,2.4,2.9,2.5
"160",20,37,1,2,1,1.6,5,5.8,5.9,1,1,5.4,6,1,1.1,1.2,1.1
"161",111,33,2,1,1,3.1,5.1,3.7,4,3.6,4,4.8,5.4,3.4,3.1,3.4,3.1
"162",73,26,1,2,2,2.4,5.1,4.8,3.8,3,2.4,5,4.6,3,3.2,3,2.6
"163",128,23,1,2,1,3.1,4.1,4.9,4.9,3.3,3.6,3.7,4.3,2.4,2.3,2.5,2.3
"164",146,71,2,2,1,3.1,4.8,4.5,5.2,4.4,3.6,3.4,5.3,2.9,2.1,2.7,2
"165",155,28,1,2,1,3.6,3.2,3.7,3.6,2.8,3.4,3.7,3.9,4.6,3.7,3,3.5
"166",103,30,2,2,1,4.1,4.4,4.3,4.2,4,4,3.5,5.2,2.5,2.6,2.6,2.7
"167",179,54,1,2,1,3.5,5.5,4.3,4.6,3,2.3,5.6,6,3.1,2.3,3.2,2.3
"168",226,27,1,2,4,3.7,4.3,3.7,4,3,2.9,3.4,3.6,3.7,3.7,3.7,3.9
"169",9,36,2,2,1,2.9,5.7,3.8,5.8,3.9,1.8,4.7,5.8,3.7,1.5,3.7,1.4
"170",17,62,2,2,1,3.3,4.4,5,5,3.1,2.9,5.9,5.5,2.8,2.9,2.8,2.9
"171",98,34,1,2,2,2.4,4.3,4.1,4.5,4.2,3.4,4.9,4.7,2.2,1.6,3,1.9
"172",72,39,1,2,1,3.1,5.3,4.1,4.4,4.2,4.2,5.7,5.8,3,2.5,3,2.5
"173",25,34,1,1,6,4.6,4.4,4.88888888888889,4.4,4.5,5.1,4.7,4.2,5.3,5.4,5.6,5.3
"174",176,63,2,2,1,3.4,5,5,5,3.2,2.9,4.9,5.8,2.8,2.8,2.8,2.6
"175",167,33,2,1,5,3.5,5.1,4.8,4.8,3.4,4.1,5.3,5.8,2.8,2.7,2.8,2.7
"176",15,30,2,2,4,4,4,4.4,3.7,3.8,3.3,3.3,4.4,3.9,4.2,3.8,3.6
"177",102,30,1,2,1,3.4,5.2,3.4,4.3,4,4.3,3.8,4.3,3.7,3,3.7,3.1
"178",121,27,1,2,1,3.4,4.6,4.5,5,4.1,4.1,4.8,4.7,4.5,4.5,4.4,4.4
"179",67,33,2,2,2,1.8,3.8,4.9,4.7,5.3,4.6,3.3,5.2,2.3,2.1,1.7,2
"180",53,26,1,2,4,2.8,4.8,4,3.6,4.1,3.1,5.1,4.7,3.3,3.1,3.3,3
"181",133,32,2,2,1,3.8,4.1,4.3,3.8,3.8,3.5,4.4,3.9,4.2,3.9,4.2,3.9
"182",166,34,2,1,1,3.3,5.5,5.4,4.9,3.5,3.1,4.5,5.7,3.3,3.1,3.3,3
"183",143,35,1,1,1,4.4,4.8,4.8,4.4,3.4,3.3,4.3,4.1,4.4,3.7,3.8,3.8
"184",69,21,2,2,4,4.2,3.9,4,4.2,2.8,3,5,5,3.3,3.6,3.3,3.6
"185",219,25,1,2,1,1.8,4.2,4.6,4.8,3.9,4.3,4.4,4.6,4.1,3.9,4.1,4.2
"186",85,27,2,2,1,3.6,3.8,3.7,3.7,4,3.9,3.7,3.4,3.2,3.3,3.5,3.1
"187",236,51,1,2,1,2.1,4.5,4.9,3.9,3.5,5.1,5.4,5.4,2.6,3.6,2.9,3.5
"188",246,24,1,2,2,4,4.2,3.8,4.1,3.9,3.7,4.9,4.5,3.1,3.6,3.3,2.9
"189",209,31,2,2,4,4.4,4.7,3.9,3.8,2.8,2.8,5.2,4.9,2.3,2.6,2.5,2.5
"190",116,33,1,2,1,2.5,3.5,4.5,4.4,4.2,4.1,3.8,4.1,3.6,3.6,3.6,3.7
"191",93,41,2,2,1,1.6,3.8,4.9,4.3,2.9,2.9,3.8,5.2,2.6,2.9,2.5,2.9
"192",5,34,1,2,1,3.6,4.8,5,5,2.6,2.1,5.9,5.9,2,2,2,2
"193",216,32,2,1,2,4,4.2,4.4,5,4.9,4.6,4.4,4.2,5.7,5.9,4.2,4.2
"194",43,59,2,2,1,4.6,4.5,4.8,4.5,4.6,4.7,4.1,3.9,4.3,4.4,4.6,4.5
"195",152,35,2,2,1,2.2,3.8,4.1,3.9,4.3,4,2.8,4.6,3.4,2.8,2.6,1.7
"196",169,39,2,2,1,2.6,3.1,5.9,6,4,4.4,4.6,6,3,3,3,3
"197",45,35,1,1,1,3.3,3.8,3.8,3.8,3.9,3.8,3.7,4.2,3.6,3.3,4.1,3.9
"198",3,40,1,2,1,2.7,4.1,4.3,4,3.1,3.7,4.8,4.6,3.1,3.5,3.1,3.4
"199",160,41,2,2,5,3,4.6,4,4.3,4.4,3.4,4.6,4.9,3,2.4,2.8,2.5
"200",114,33,1,2,2,1.7,4.5,5.5,5.2,1.7,2,5.9,6,1.1,1,1.1,1
"201",201,43,2,2,1,3,4.5,4.6,4.6,3.2,3,5.5,5.9,3.2,2.8,3.3,2.9
"202",86,46,1,2,1,1.7,4.2,3.7,3.5,3.8,3.2,5.1,4.8,3.1,2.4,3.1,2.4
"203",88,35,1,2,1,3.4,4.5,4,4,4.7,4.3,4.7,5,3.5,3.3,3.7,3.3
"204",96,28,1,2,1,3.6,4.7,4.3,4.7,4,4.3,4.4,4.6,4,4,4,4
"205",200,37,2,2,1,2.2,4,4.7,4.9,4.6,4.1,3.9,5.2,3.1,3,4,3.7
"206",164,28,1,2,1,3,4.4,4,4,4,4,4.5,4.8,4,4,4,4
"207",51,55,2,1,2,3.7,3.7,4.8,4.9,4.6,4.8,4.6,4.4,5.4,5.2,5.6,5.7
"208",109,42,2,2,1,3.3,4.9,3.5,4.7,3.8,3.6,3.5,4.9,3.2,2.2,4.2,3.9
"209",57,52,1,2,1,2.5,4.1,4.5,4.5,3.9,4,3.2,5.1,3.7,3.3,4,3.6
"210",191,32,2,2,1,2.7,4.2,4.5,4.3,4.4,3.7,4.5,4.6,4.2,3.6,4,3.6
"211",58,64,2,2,1,3.7,5.6,4.8,4.8,4.5,4.4,4.1,5.1,3.8,3.4,3.6,3.4
"212",16,36,2,2,1,3.6,4.1,5,5,2,2,5.9,6,2,2,2,2
"213",122,42,2,2,1,3.7,5.6,4.6,4.7,4.3,4.4,4.5,5.3,3.1,3.2,3.1,3.2
"214",232,32,2,2,2,4.2,4.5,3.6,4.5,4.1,3.8,3.8,3.9,5.4,4.9,4.8,5.3
"215",215,36,2,2,1,2.5,3.8,4,4.3,2.7,2.4,3.9,3.9,2.7,2.4,2.7,2.4
"216",34,30,1,2,1,2.9,4.1,2,4.5,3.2,2.8,2.4,2.2,3,2.8,4.4,2.6
"217",234,58,1,1,1,2.5,3.6,5,5,3.9,3.8,5,5.7,3.9,3.8,3.9,3.8
"218",71,29,1,2,1,4.7,3.5,4.3,3.7,5.1,5.1,3.9,3.4,4.1,4.4,5.6,5.6
"219",120,30,1,2,1,2.8,4.6,4.2,4.3,3,2.4,4.1,4.2,2.4,1.7,2.7,1.7
"220",68,37,1,2,1,3.2,4.8,5.5,5.5,1,1.1,5.3,5.2,1.1,1,1.1,1
"221",145,35,1,2,1,5.1,6,5.7,5.4,4.3,2.6,6,6,2.3,1.6,2.3,1.6
"222",113,43,2,2,1,2.6,4,5,4.9,4,4,3.4,4.3,3,3,3,3
"223",12,50,2,2,1,3.4,5.1,4.5,4.6,3.2,3.1,3.6,5.5,3.4,3.4,3.4,3.3
"224",217,34,1,2,1,3.3,4.8,4,4.2,3.1,2.8,3.6,4.2,3.3,2.5,2.9,2.5
"225",204,35,1,2,1,2.9,3.7,4,4,3.5,3.1,4.8,5,3.5,3.1,3.6,3.1
"226",162,25,1,1,2,2.9,3.6,3.7,4.3,3.4,3.1,3.8,5,2.9,2.9,3.2,2.8
"227",39,50,1,2,1,3.6,4.4,4.2,4.7,2.6,2.5,4.3,4.3,2.7,2.4,2.9,2.8
"228",233,30,1,2,1,4.1,4.4,4.2,4.4,3.6,3.8,3.33333333333333,4.5,3.8,4.5,4.5,3.8
"229",41,44,2,2,5,2.3,3.6,4.5,4.8,3.6,4.2,2.8,4.6,2.7,2.5,2.7,2.6
"230",137,32,2,2,1,4.3,4.8,4.1,4.9,1,1.1,4.8,5.2,1,1.1,1,1.2
"231",153,29,1,2,4,2.3,5.1,4.7,5.2,4.8,5.1,4.1,5.5,4.8,5.1,4.8,5.1
"232",56,53,2,2,1,5.3,4.6,3.8,4.4,3.9,3.9,4.6,4.8,4.7,5.4,4,4.4
"233",141,33,1,2,1,2.1,3.9,3.9,4.4,3.8,4.1,4,4.7,3.1,2.1,3.4,2
"234",229,30,1,2,2,3.3,4.9,4.7,4.5,4.6,4.3,4.1,4.5,5.2,4.8,5.3,5.7
"235",78,43,1,2,1,3.9,5,4.3,4.6,3.9,4.2,4.2,4.8,3.6,3.4,3.5,3.4
"236",183,35,2,2,1,2.5,4.2,3.7,4.2,3.3,2.8,5.4,5.6,3.6,2.9,3.5,3.2
"237",171,28,1,2,2,3.9,3.5,3.6,3.7,4.2,4.2,4.1,4.4,3.4,3.2,4.4,4.1
"238",24,43,1,2,1,3.2,4.8,4.3,4.3,4.8,3.5,3.5,5,3.3,3,3.5,2.8
"239",163,42,2,2,1,2.5,3.3,4.3,4.5,3.7,3.3,3.4,4.8,2.7,2.5,2.7,2.5
"240",74,39,1,2,2,2.6,5.2,4.6,4.5,4.7,3.9,2.9,4.8,2.2,2.3,2.4,2
"241",104,49,2,2,1,3.2,4.8,4.3,4.6,4.5,4.1,4,5.4,4.1,3.2,4.3,3.6
"242",193,44,2,2,4,3.7,5.3,5,5,3.2,3.1,6,6,2.1,2,2.1,2.1
